 Time, $\theta_1$, $\theta_2$, Energy violation
  1.6812500000000000E+01, -9.1249458480571921E-01,  1.1939884298453334E+00,  8.8817841970012523E-16
  1.6816406250000000E+01, -9.0853764524427882E-01,  1.1950512183223734E+00,  8.8817841970012523E-16
  1.6820312500000000E+01, -9.0448933711258128E-01,  1.1960074250011321E+00,  8.8817841970012523E-16
  1.6824218750000000E+01, -9.0035030327419119E-01,  1.1968557678222045E+00,  8.8817841970012523E-16
  1.6828125000000000E+01, -8.9612117925747159E-01,  1.1975949483385955E+00,  8.8817841970012523E-16
  1.6832031250000000E+01, -8.9180259227672387E-01,  1.1982236523805330E+00,  6.6613381477509392E-16
  1.6835937500000000E+01, -8.8739516022636455E-01,  1.1987405507035531E+00,  8.8817841970012523E-16
  1.6839843750000000E+01, -8.8289949064862727E-01,  1.1991442996175417E+00,  8.8817841970012523E-16
  1.6843750000000000E+01, -8.7831617967528852E-01,  1.1994335415942909E+00,  1.1102230246251565E-15
  1.6847656250000000E+01, -8.7364581094392679E-01,  1.1996069058510113E+00,  8.8817841970012523E-16
  1.6851562500000000E+01, -8.6888895448922931E-01,  1.1996630089071176E+00,  8.8817841970012523E-16
  1.6855468750000000E+01, -8.6404616560986236E-01,  1.1996004551114872E+00,  6.6613381477509392E-16
  1.6859375000000000E+01, -8.5911798371141401E-01,  1.1994178371372675E+00,  1.1102230246251565E-15
  1.6863281250000000E+01, -8.5410493112590957E-01,  1.1991137364411941E+00,  1.1102230246251565E-15
  1.6867187500000000E+01, -8.4900751190837964E-01,  1.1986867236842600E+00,  6.6613381477509392E-16
  1.6871093750000000E+01, -8.4382621061093743E-01,  1.1981353591104602E+00,  8.8817841970012523E-16
  1.6875000000000000E+01, -8.3856149103478661E-01,  1.1974581928802255E+00,  6.6613381477509392E-16
  1.6878906250000000E+01, -8.3321379496053816E-01,  1.1966537653550406E+00,  1.1102230246251565E-15
  1.6882812500000000E+01, -8.2778354085716388E-01,  1.1957206073296351E+00,  6.6613381477509392E-16
  1.6886718750000000E+01, -8.2227112256985047E-01,  1.1946572402080238E+00,  8.8817841970012523E-16
  1.6890625000000000E+01, -8.1667690798694359E-01,  1.1934621761195638E+00,  6.6613381477509392E-16
  1.6894531250000000E+01, -8.1100123768608778E-01,  1.1921339179710926E+00,  8.8817841970012523E-16
  1.6898437500000000E+01, -8.0524442355956838E-01,  1.1906709594310985E+00,  8.8817841970012523E-16
  1.6902343750000000E+01, -7.9940674741875262E-01,  1.1890717848417744E+00,  1.1102230246251565E-15
  1.6906250000000000E+01, -7.9348845957740055E-01,  1.1873348690546945E+00,  8.8817841970012523E-16
  1.6910156250000000E+01, -7.8748977741347903E-01,  1.1854586771857483E+00,  6.6613381477509392E-16
  1.6914062500000000E+01, -7.8141088390895808E-01,  1.1834416642848542E+00,  1.1102230246251565E-15
